ts,crawl_done,index_done
2025-05-07T20:33:07.932841,0,0
2025-05-07T20:33:08.628948,0,0
2025-05-07T20:33:09.933461,0,0
2025-05-07T20:33:10.631451,0,0
2025-05-07T20:33:11.935965,0,0
2025-05-07T20:33:12.633165,0,0
2025-05-07T20:33:13.939373,0,0
2025-05-07T20:33:14.635037,0,0
2025-05-07T20:33:15.942339,0,0
2025-05-07T20:33:16.638497,0,0
2025-05-07T20:33:17.945034,0,0
2025-05-07T20:33:18.641381,0,0
2025-05-07T20:33:19.947184,0,0
2025-05-07T20:33:20.643726,0,0
2025-05-07T20:33:21.950530,0,0
2025-05-07T20:33:22.646782,0,0
2025-05-07T20:33:23.953192,0,0
2025-05-07T20:33:24.649052,0,0
2025-05-07T20:33:25.955957,0,0
2025-05-07T20:33:26.651743,0,0
2025-05-07T20:33:27.961384,0,0
2025-05-07T20:33:28.657187,0,0
2025-05-07T20:33:29.959658,0,0
2025-05-07T20:33:30.656831,0,0
2025-05-07T20:33:31.961978,0,0
2025-05-07T20:33:32.659272,0,0
2025-05-07T20:33:33.963515,0,0
2025-05-07T20:33:34.660353,0,0
2025-05-07T20:33:35.966055,0,0
2025-05-07T20:33:36.661749,0,0
2025-05-07T20:33:37.969235,0,0
2025-05-07T20:33:38.663644,0,0
2025-05-07T20:33:39.971241,0,0
2025-05-07T20:33:40.666253,0,0
2025-05-07T20:33:41.974178,0,0
2025-05-07T20:33:42.667835,0,0
2025-05-07T20:33:43.976359,0,0
2025-05-07T20:33:44.670176,0,0
2025-05-07T20:33:45.977749,0,0
2025-05-07T20:33:46.672757,0,0
2025-05-07T20:33:47.980612,0,0
2025-05-07T20:33:48.675378,0,0
2025-05-07T20:33:49.982442,0,0
2025-05-07T20:33:50.677741,0,0
2025-05-07T20:33:51.984116,0,0
2025-05-07T20:33:52.680174,0,0
2025-05-07T20:33:53.986322,0,0
2025-05-07T20:33:54.681741,0,0
2025-05-07T20:33:55.988114,0,0
2025-05-07T20:33:56.685065,0,0
2025-05-07T20:33:57.990357,0,0
2025-05-07T20:33:58.687636,0,0
2025-05-07T20:33:59.989291,0,0
